Day,Time_in,Time_out,Tutor_ID
2,10:15:00,12:45:00,1720174
2,10:15:00,12:00:00,1753990
2,10:15:00,11:45:00,9661710
2,11:00:00,13:15:00,6669765
2,12:30:00,14:00:00,3989471
2,12:45:00,16:00:00,8996052
2,13:00:00,16:00:00,6304341
2,13:00:00,16:00:00,7109780
2,13:15:00,15:00:00,606173
2,13:15:00,15:30:00,2303104
2,13:30:00,17:30:00,7109780
2,14:15:00,17:30:00,7454223
2,14:15:00,16:45:00,8383371
2,14:30:00,16:15:00,9113654
2,14:45:00,16:30:00,2255077
3,10:15:00,13:45:00,975929
3,10:15:00,12:00:00,2382928
3,10:15:00,11:45:00,5313296
3,10:15:00,13:45:00,7454223
3,10:15:00,12:00:00,8383371
3,10:30:00,12:45:00,8626044
3,10:45:00,12:30:00,2764364
3,10:45:00,14:00:00,7067771
3,11:00:00,14:30:00,7067771
3,11:30:00,15:15:00,492448
3,11:30:00,13:45:00,1699683
3,11:30:00,14:45:00,2583861
3,11:30:00,12:45:00,2833794
3,11:45:00,13:00:00,5194264
3,11:45:00,14:00:00,5301814
3,11:45:00,15:15:00,5611989
3,12:00:00,14:30:00,8626044
3,12:30:00,13:45:00,2849732
3,12:45:00,16:00:00,9113654
3,13:00:00,14:15:00,1496356
3,13:15:00,17:00:00,7195993
3,13:15:00,17:15:00,7372648
3,13:15:00,14:45:00,9134724
3,13:30:00,17:30:00,7980323
3,13:45:00,17:15:00,2303104
3,14:00:00,15:15:00,975929
3,14:00:00,15:45:00,978963
3,14:00:00,16:45:00,1496356
3,14:00:00,17:00:00,5611989
3,14:15:00,16:45:00,2972757
3,14:15:00,15:45:00,5204243
3,14:30:00,18:15:00,2303104
3,14:45:00,16:45:00,391715
3,14:45:00,18:00:00,8383371
3,15:00:00,18:30:00,2833794
4,10:00:00,11:15:00,2849732
4,10:00:00,13:45:00,7729948
4,10:00:00,13:00:00,7980323
4,10:00:00,13:00:00,9661710
4,10:15:00,14:00:00,791487
4,10:15:00,14:00:00,978963
4,10:15:00,13:45:00,8996052
4,10:30:00,11:45:00,6818734
4,10:30:00,12:45:00,7109780
4,10:45:00,12:00:00,5313296
4,11:00:00,14:00:00,94210
4,11:00:00,14:15:00,7088454
4,11:15:00,14:00:00,404943
4,11:15:00,15:00:00,7454223
4,11:30:00,14:45:00,5334466
4,11:30:00,15:30:00,7372648
4,12:00:00,13:15:00,9134724
4,12:30:00,14:15:00,2382928
4,12:30:00,14:15:00,5301814
4,12:30:00,13:45:00,8636887
4,12:45:00,15:30:00,2382928
4,12:45:00,16:00:00,5098338
4,13:00:00,16:45:00,3192544
4,13:15:00,15:00:00,2972757
4,13:15:00,17:00:00,3989471
4,13:30:00,15:30:00,2404156
4,13:30:00,14:45:00,7372648
4,13:30:00,15:15:00,7729948
4,13:30:00,16:30:00,8996052
4,13:45:00,17:30:00,2849732
4,13:45:00,15:45:00,7479583
4,13:45:00,16:00:00,8146546
4,14:15:00,17:30:00,2432366
4,14:30:00,17:15:00,2404156
4,14:45:00,16:30:00,5098338
4,14:45:00,16:45:00,7479583
4,15:00:00,18:15:00,975929
5,10:00:00,13:30:00,3989471
5,10:30:00,12:30:00,7479583
5,10:45:00,12:45:00,5313296
5,10:45:00,13:15:00,5334466
5,10:45:00,13:45:00,8636887
5,11:00:00,13:15:00,4999354
5,11:00:00,14:30:00,5611989
5,11:30:00,12:45:00,2972757
5,11:30:00,14:30:00,5789122
5,11:45:00,14:45:00,1445662
5,12:00:00,15:45:00,1013591
5,12:00:00,14:00:00,1699683
5,12:00:00,13:30:00,4100923
5,12:00:00,13:00:00,5009252
5,12:15:00,15:45:00,391715
5,12:15:00,15:30:00,2849732
5,12:30:00,15:45:00,5009252
5,12:30:00,15:15:00,8996052
5,12:45:00,14:00:00,391715
5,12:45:00,16:15:00,1699683
5,12:45:00,14:15:00,6102098
5,13:00:00,14:30:00,94210
5,13:15:00,15:00:00,1496356
5,13:30:00,16:00:00,1013591
5,13:30:00,14:45:00,3192544
5,13:30:00,16:00:00,7454223
5,13:45:00,17:45:00,9134724
5,14:00:00,15:45:00,8146546
5,14:30:00,17:15:00,2255077
5,14:30:00,17:30:00,2583861
5,14:30:00,15:45:00,2833794
5,14:30:00,18:00:00,3192544
5,14:45:00,15:45:00,2833794
5,15:00:00,16:00:00,2432366
5,15:00:00,17:45:00,3989471
5,15:00:00,18:15:00,8383371
6,10:15:00,13:45:00,391715
6,10:15:00,12:30:00,5301814
6,10:15:00,11:45:00,8626044
6,10:30:00,14:30:00,1753990
6,10:30:00,12:30:00,5301814
6,10:45:00,11:45:00,9113654
6,11:00:00,13:45:00,7067771
6,11:00:00,14:15:00,7195993
6,11:15:00,13:15:00,2583861
6,11:45:00,12:45:00,2972757
6,11:45:00,15:30:00,6818734
6,11:45:00,13:00:00,7067771
6,11:45:00,13:45:00,7195993
6,12:00:00,14:45:00,1699683
6,12:00:00,15:15:00,1845670
6,12:00:00,15:15:00,2896512
6,12:00:00,14:45:00,8146546
6,12:15:00,15:00:00,5204243
6,12:30:00,15:15:00,1496356
6,12:30:00,16:00:00,2896512
6,12:45:00,16:15:00,2303104
6,12:45:00,15:45:00,6510251
6,12:45:00,14:30:00,9134724
6,13:00:00,16:30:00,7479583
6,13:15:00,17:15:00,606173
6,13:15:00,15:15:00,1013591
6,13:15:00,16:45:00,2382928
6,13:15:00,16:45:00,5313296
6,13:15:00,16:00:00,5789122
6,13:45:00,16:00:00,1753990
6,13:45:00,15:15:00,1905876
6,14:00:00,17:00:00,404943
6,14:00:00,16:30:00,2255077
6,14:00:00,15:00:00,5611989
6,14:00:00,16:30:00,6102098
6,14:15:00,18:00:00,4085462
6,14:30:00,15:45:00,7088454
6,14:45:00,18:15:00,6048764
6,14:45:00,18:00:00,6102098
6,14:45:00,16:30:00,6669765
6,15:00:00,18:00:00,5098338